id,name,club,profileLink
296,Földiák Márk - Horváth Petra Jázmin,Quality Dance TSE,par.php?id=4631
297,Urbán Tamás - Juhász Dóra,DanceStation Táncsport Egyesület,par.php?id=4442
298,Antal Bence Dominik - Békési Csenge,Szilver Táncsport Egyesület - SZOLDANCE Táncsport Egyesület,par.php?id=6545
299,Antal Péter - Rotar Sara-Maria,Papiron Szeged Versenytáncklub Egyesület,par.php?id=5195
300,Tóth Nándor - Jakab Amália,Papiron Szeged Versenytáncklub Egyesület,par.php?id=6532
301,ANDREI BORLEA - AMALIA MARIAN,Romania,par.php?id=6832
302,Motyovszki Milán - Boros Lilla Csenge,Freetime Táncsport Egyesület  - Stúdió 2000 TSE,par.php?id=6485
303,Vlad  Mihalache - Sara Ioana  Mîrza,Romania,par.php?id=6836
304,Matkovics Gorán - Budnychenko Mariana,INFINITY DANCE COMPANY TÁNCSPORT EGYESÜLET,par.php?id=5213
305,Kajati Gábor - Nagy Edina,Everydance Táncsport Egyesület,par.php?id=5642
306,Zykin Andrej - Kajtár Kincső,"Szilver AMI, Dózsaház",par.php?id=538
307,Kakó Bence Dániel - Kurucz Anna Vanessza,"Szilver AMI, Szolnok Belvárosi",par.php?id=539
308,Jurica Róbert - Bartus Nóra,"Szilver AMI, Tiszaföldvár",par.php?id=540
309,Bartolák Levente - Sass Júlia Zita,Szarvas,par.php?id=541
310,Ocskó Balázs - Schmölcz Enikő,"Szilver AMI, Szolnok Szent-Györgyi",par.php?id=542
311,Kolompár Sándor Viktor - Török Virág,"Szilver AMI, Öcsöd",par.php?id=543
312,Tor Sándor - Patonai Laura,"Szilver AMI, Martfű",par.php?id=544
313,Pálinkás Hunor - Csipai Nóra,"Vértessy TSE, Békésszentandrás",par.php?id=545
314,Vajjon Bence - Donka Csenge,"Szilver AMI, Szolnok Szent-Györgyi",par.php?id=546
315,Horváth Bence - Márkus Zsófi,"Szilver AMI, Tiszaföldvár",par.php?id=547
316,Telek Zsolt - Gomolka Zsóka,"Szilver AMI, Kaszaper",par.php?id=548
317,Trencsényi Dániel - Bozorádi Mia,"Szilver AMI, Martfű",par.php?id=549
318,Biri Dominik - Varga Kata,"Szilver AMI, Martfű",par.php?id=550
319,Hárskuti Dominik - Groditzki Anna,Szarvas,par.php?id=552
320,Hosszú Patrik - Boross Katalin Hédi,"Szilver AMI, Tiszaföldvár",par.php?id=551
321,Kószó Zoltán - Kószó Laura,Szarvas,par.php?id=553
322,Müller Dávid - Molnár Maja,"Szilver AMI, Szolnok Szent-Györgyi",par.php?id=554
323,Kerekes Dominik - Valastyán Brenda,Szarvas,par.php?id=555
324,Mátyus Kristóf - Horváth Fanni,"Szilver AMI, Cibakháza",par.php?id=556
325,Tomkovics Alex - Perei Boglárka,"Szilver AMI, Szolnok Szent-Györgyi",par.php?id=557
326,Zsombik Arnold - Kóródi Bodza Eszter,"Szilver AMI, Cibakháza",par.php?id=558
327,Horváth András Máté - Ujcz-Méri Sára,Dance Express Tánc Sport Egyesület,par.php?id=4137
328,Fórizs Marcell - Balogh Rebeka,Botafogo Táncegyüttes,par.php?id=5499
329,Kovács Ádám - Faludi Eliza Eszter,Lorigo Táncsport Egyesület,par.php?id=2431
330,Józsa Márk - Hegedüs Adela,Ritmo Sporttánc Egyesület,par.php?id=5380
331,Molnár Ákos - Kiss Beatrix,Nyíri Lajos Táncsport Egyesület - Valcer Táncstúdió,par.php?id=5495
332,Varga Nándor - Rezsabek Eszter,Sway Táncsport Egyesület,par.php?id=4935
333,Benkő Arnold - Gruber Rebeka,SZIGO Kulturális Táncsport Egyesület,par.php?id=3123
334,Palásthy Nándor - Gáspár Gréta,Ritmo Sporttánc Egyesület - Dance Universe Tánc Sportegyesület,par.php?id=5426
335,Raffai Róbert Balázs - Csányi Vivien,Forma Táncsport Egyesület,par.php?id=4640
336,Sebők Roland Krisztián - Sebők Nilla Viktória,Dance Express Tánc Sport Egyesület - INFINITY DANCE COMPANY TSE,par.php?id=2685
337,Reznák Zsolt - Dubai Dóra,Stúdió 2000 TSE,par.php?id=360
338,Kiss Zsombor Gábor - Albert Emma,Stúdió 2000 TSE - SZIGO Kulturális Táncsport Egyesület,par.php?id=5362
339,Gála TE A -,Gála Társastáncklub Egyesület,par.php?id=6046
340,Forma TSE - Táltos Team latin -,Forma Táncsport Egyesület,par.php?id=6045
341,Belucz Levente Zoltán - Koczó Florina Kiara,Sway Táncsport Egyesület - Forma Táncsport Egyesület,par.php?id=904
342,Erdész Patrik Bence - Gyöpös Laura,Felicita KTSE,par.php?id=40
343,Maczkó Márk Miklós - Bakos Rebeka,Ködmön Társastánc SE,par.php?id=122
344,Vandornyik Máté - Kacsák Brigitta,Havanna Táncstúdió Sportegyesület,par.php?id=123
345,Kovács Vilmos - Antal Szófia,Sziget Dance Táncsport Egyesület,par.php?id=1145
346,Gehl Szabolcs  - Végh Dominika,Happy Dance Táncsport Egyesület,par.php?id=405
347,Tuboly Zsombor - Luter Franciska,Gála Társastáncklub Egyesület,par.php?id=1063
348,Radits Dávid - Szakács Napsugár Réka,El Paso SE,par.php?id=943
349,Lehóczki Zsolt - Oláh Csillag Virág,Botafogo Táncegyüttes,par.php?id=227
350,Kolozsváry Mátyás - Balogh Adél Emese,El Paso SE,par.php?id=43
351,Mester Csiki László - Ferenczi Tünde,DanceNet Sportegyesület,par.php?id=2627
352,Fantom -,Fantom,par.php?id=5381
353,Kónya Péter - Szabó Georgina,Príma Dance Táncsportegyesület,par.php?id=2609
354,Varga Attila Zsolt - Madari Éva,DuDance Tánc-Egyesület - Champion Táncsport Egyesület,par.php?id=2325
355,Meizner István - Meiznerné Fáy Zsuzsanna,Dimenzió Táncsport Egyesület,par.php?id=2608
356,Faragó Sándor - Ringhoffer Nóra,C&M Dance Studio Tánc Sport Egyesület,par.php?id=2573
357,Király Gyula - Tóth Andrea,Bonita Táncsport Egyesület,par.php?id=1777
358,Hell István - Enger Felícia,Pro-Art Táncstúdió,par.php?id=2340
359,Simon Dávid - Kuzma Panna Laura,Gála Társastáncklub Egyesület,par.php?id=7351
360,Udvardi Gergely Balázs - Szabadfi Eszter,Lorigo Táncsport Egyesület,par.php?id=6869
361,Simon Áron - Batyi Enikő,Lorigo Táncsport Egyesület,par.php?id=6890
362,Kazy Zsigmond - Kubatov Viktória,Bajai Táncsport Egyesület,par.php?id=5209
363,Bárányos Márton - Földi Lilla Sugárka,Zsámbéki Tánc Sport Egyesület,par.php?id=5211
364,Draskovics Gergő - Kanizsai Lili,Ritmo Sporttánc Egyesület,par.php?id=3644
365,Pohli Gergely - Kajos Luca Fanni,SZIGO Kulturális Táncsport Egyesület,par.php?id=2235
366,Demko Csaba Olivér - Csiba Annamária,Quality Dance TSE,par.php?id=5617
367,Keller Zsolt Ákos - Haluska Rebeka,Quality Dance TSE,par.php?id=5599
368,Kaló Tamás - Szalontay Noémi Éva,Valcer TáncSport Egyesület,par.php?id=5428
369,Tomolák Sándor - Némethné Szelle Krisztina,Sway Táncsport Egyesület,par.php?id=5161
370,Sütő Gergely - Radics Mónika,Szilver Táncsport Egyesület,par.php?id=5727
371,Drahos Gergő - Juhász Blanka,Brilli-Art Studio Közhasznú Táncsport Egyesület,par.php?id=1560
372,Balikó Gergely - Csermák Klaudia Noémi,Hemo Winner VTE - DanceStation Táncsport Egyesület,par.php?id=1521
373,Deák András - Gulyás-Szabó Eszter,Dance Express Tánc Sport Egyesület,par.php?id=6456
374,Kókai Krisztián - Szvoboda Fanni,PRO-ART ELIT Egyesület,par.php?id=6400
375,Szamosközi Ádám - Nemes Daniella,Szilver Táncsport Egyesület,par.php?id=6378
376,Kolonits Ádám Viktor - Halász Tímea Réka,Érdi Táncsport Egyesület,par.php?id=6341
377,Forrai Brúnó Péter - Forrai Felícia Sára,Unique TáncSport Egyesület,par.php?id=6336
378,Salétros Nándor - Rácz Lívia,Stúdió 2000 TSE,par.php?id=6117
379,Verbói Zsombor - Tatár Flóra,Valcer TáncSport Egyesület - Valcer Táncstúdió,par.php?id=6410
380,Pollák Dániel Gábor - Glatz Bianka,Tornádó TSE Kozármisleny,par.php?id=6372
381,Kollár Dániel - Mamuzsity Dóra,Sundance Tánc Sport Egyesület,par.php?id=6379
382,Nemes Márk - Kiss Dorka,Miskolcz-Revital TSE,par.php?id=1552
383,Kunkli Botond - Várkonyi Beáta,Valcer Táncstúdió,par.php?id=1542
384,Kátai Richárd - Nagy Bernadett,JoyDance Táncsport Egyesület,par.php?id=2702
385,Wolf Dániel - Fődi Kitti,Everydance Táncsport Egyesület,par.php?id=2939
386,Zelenka Mátyás - Vincze-Német Noémi,Papiron Szeged Versenytáncklub Egyesület,par.php?id=2966
387,Sebestyén Zsolt - Gyarmati Csenge Virág,Lehel-Melody TSE,par.php?id=2958
388,Lassú Botond - Bali Erika,Papiron Szeged Versenytáncklub Egyesület,par.php?id=3214
389,Forgács Endre Ádám - Kollár-Nagy Aténa,Lehel-Melody TSE,par.php?id=2947
390,Forgács Róbert Zsolt - Boldoczki Fanny Francesca,Pro-Art Táncstúdió,par.php?id=2820
391,Debreczeni Zsolt - Dér Eszter Éva,Nyíri Lajos Táncsport Egyesület,par.php?id=1563
392,Horváth Péter - Bauer Dorottya,Ametiszt Táncsport Egyesület,par.php?id=1645
393,Rédl László - Fekete Bettina Eszter,Alex Moore Táncsport Egyesület,par.php?id=1159
394,Végh Tamás - Peresztegi Dóra,PRESS DANCE TSE,par.php?id=1098
395,Varga Balázs - Varga Alexandra Cintia,DuDance Tánc-Egyesület,par.php?id=1791
396,Geleta Alex Dávid - Kiss Nikolett,Everydance Táncsport Egyesület - Dancing Queen Sport Tánc Egyesület,par.php?id=2323
397,Sebestyén Péter - Salgó Anna Réka,Danza Táncsport Egyesület,par.php?id=2134
398,Bálint Péter - Lukács Barbara,Laguna KTSE,par.php?id=1776
399,Mayer Miklós - Szalai Vivien,Adria-Szigó KTSE,par.php?id=1643
400,Szabó Gábor - Szabóné Dudás Csilla,Pusztaszabolcsi Szabadidősport Egyesület,par.php?id=1840
401,Punczman Ádám - Tóth Barbara,Oktogon Tánccentrum - Champion Táncsport Egyesület,par.php?id=2132
402,Simon Barnabás - Barbér Bettina,Ametiszt Táncsport Egyesület,par.php?id=1100
403,Oszlánszki László - Bencsik Andrea,Oktogon Tánccentrum,par.php?id=1954
404,Kajati Gábor - Kelemen Kata,Everydance Táncsport Egyesület,par.php?id=1680
405,Felföldi Péter - Kiss Erika,Szabolcs Diáksport Egyesület - Dance Universe Tánc Sportegyesület,par.php?id=918
406,Nagy Gábor - Oláh Petra Orsolya,Botafogo Táncegyüttes,par.php?id=2326
407,Szabó Lajos - Szabó Hajnalka,Laguna KTSE,par.php?id=1662
408,Pusch Kevin - Albert Emma,SZIGO Kulturális Táncsport Egyesület,par.php?id=1519
409,Balázs Dominik - Kondacs Jázmin Bíborka,Szilver Táncsport Egyesület,par.php?id=2731
410,Papp Ádám István - Máté Virág,Szilver Táncsport Egyesület,par.php?id=4796
411,Kosztolányi Elek - Bartók Laura,Szilver Táncsport Egyesület,par.php?id=3745
412,Beke Mátyás - Darabos Emma,Gála Társastáncklub Egyesület,par.php?id=3363
413,Palotai Patrik - Illés Dorka,L-DANCE GROUP Táncsport Egyesület,par.php?id=6141
414,Halmóczki Márk - Tran Ngoc Quynh Anh,Ametiszt Táncsport Egyesület,par.php?id=4105
415,Ropoli Rebeka Apollónia -,DOMBÓVÁRI AMI,par.php?id=4073
416,Sárkány Egon - Tóth Bernadett,Miskolcz-Revital TSE,par.php?id=1539
417,Patkós Máté - Pataki Noémi Kata,Stúdió 2000 TSE - Forma Táncsport Egyesület,par.php?id=3113
418,Cziklin Dusán Péter - Szilágyi Rebeka,Szilver Táncsport Egyesület,par.php?id=1694
419,Flekács László - Csorba Viktória,Ködmön Társastánc SE,par.php?id=362
420,Vaczláv Csaba Bercel - Markó Milda Jázmin,Brilli-Art Studio Közhasznú Táncsport Egyesület,par.php?id=2633
421,Kalapács Bence - Prágai Szimonetta,Szilver Táncsport Egyesület,par.php?id=2652
422,Pintér Tibor - Győrfalvi Dóra,Szilver Táncsport Egyesület-Oktogon Tánccentrum,par.php?id=35
423,Dunai Rudolf - Geiger Vivien,Flash Táncsport Egyesület,par.php?id=388
424,Kőszegi Gergely Viktor - Kiss Dorottya,Ködmön Társastánc SE - DanceStation Táncsport Egyesület,par.php?id=166
425,Riborics György Antal - Riborics György Antalné,Big-BEM Táncsport Egyesület,par.php?id=3819
426,Nattán Péter - Nattánné Szamosi Mária,Big-BEM Táncsport Egyesület,par.php?id=4141
427,Oláh Olivér - Németh Dzsesszika Alexandra,El Paso SE,par.php?id=4799
428,Berényi Dénes Mihály - Berta Antónia,EMotion Táncstúdió,par.php?id=4629
429,Fejes Botond - Movik Imola,Érdi Táncsport Egyesület,par.php?id=4626
430,Somodi Péter - Somodi Kitti,Goldance Táncsport Egyesület,par.php?id=4480
431,Orbán Vilmos - Máté Eszter,Brilli-Art Studio Közhasznú Táncsport Egyesület,par.php?id=4946
432,Szuhi Dániel - Kulimár Zsófi,Szabolcs Diáksport Egyesület,par.php?id=4819
433,Lilik Gergő - Kasznár Lúcia,JoyDance Táncsport Egyesület,par.php?id=3989
434,Andrucsák Krisztián József - Molnár Petra,Forma Táncsport Egyesület,par.php?id=4474
435,Pótár-Bóta Zalán - Csörghe Boglárka,Szilver Táncsport Egyesület,par.php?id=4920
436,Sonkoly Ákos Gábor - Balogh Petra,Szilver Táncsport Egyesület,par.php?id=4951
437,Bene Nándor - Móritz Borbála Anna,Lorigo Táncsport Egyesület,par.php?id=4812
438,Udvardi Gergely Balázs - Katona Míra Tímea,Lorigo Táncsport Egyesület,par.php?id=4778
439,Fitsay Vladislav - Danych Vivien,Ukraine,par.php?id=5045
440,Valicsek Milán - Rabi Gréta,Laguna KTSE,par.php?id=4814
441,Lendvai Dániel - Till Anna Natália,Laguna KTSE,par.php?id=4817
442,Szép Dominik - Kovács Fanni,Felicita KTSE,par.php?id=4824
443,Csüri Bence Ferenc - Szabó Lili Vanda,Laguna KTSE,par.php?id=4813
444,Csonka Valentin Viktor - Balog Enikő,Szilver Táncsport Egyesület,par.php?id=7174
445,Kelemen Sándor - Daczó Melinda-Emese,Papiron Szeged Versenytáncklub Egyesület,par.php?id=7231
446,Dr. Diós Ádám - Farkas Réka Krisztina,Dance Universe Tánc Sportegyesület,par.php?id=7446
447,Batyalik Gergely - Kovács Emese,Everydance Táncsport Egyesület,par.php?id=7491
448,Darvai Benjamin - Vladár Mónika Cecilia,Dance Universe Tánc Sportegyesület,par.php?id=7202
449,Havas Márk - Juhász Jázmin,Miskolcz-Revital TSE,par.php?id=4436
450,Molnár Ákos - Kiss Petra,Nyíri Lajos Táncsport Egyesület - Kner Táncsport Egyesület,par.php?id=4451
451,László-Dékány Donát - Lajter Csenge Villő,Spirit Tánc Sport Egyesület,par.php?id=7317
452,Marton Nimród - Gulyás Izabella,L-DANCE GROUP Táncsport Egyesület,par.php?id=7497
453,Dégi Patrik - Józsa Teodóra,Spirit Tánc Sport Egyesület,par.php?id=7586
454,Varga Milán - Gyenizse Zsóka,Spirit Tánc Sport Egyesület,par.php?id=7075
455,Pálinkás András - Pálinkás Andrásné,Nyíri Lajos Táncsport Egyesület,par.php?id=1583
456,Szilágyi Viktor András - Lévai Vanessza Andrea,Forma Táncsport Egyesület,par.php?id=2452
457,Márton Péter - Viczina Kincső,Felicita KTSE,par.php?id=1602
458,Kispál Gergely Tas - Kakas Lúcia,Szilver Táncsport Egyesület,par.php?id=2320
459,Soltész István - Dudley Dóra,Adria-Szigó KTSE,par.php?id=857
460,Keresztes Szabolcs - Than Anna,Adria-Szigó KTSE,par.php?id=2572
461,Huber Péter Szabolcs - Szántó Dominika Andrea,C&M Dance Studio Tánc Sport Egyesület,par.php?id=53
462,Agócs Dániel - Rinnenbach Elena Petra,iDanceStudio KTSE,par.php?id=2792
463,Varga Miklós - Dobra Viktória,Ritmo Sporttánc Egyesület,par.php?id=2440
464,Hegyi Olivér - Lengyel Kamilla,Stúdió 2000 TSE,par.php?id=6838
465,Koszorú Dominik Áron - Végh Dóra,Goldance Táncsport Egyesület,par.php?id=6808
466,Tisza Vince - Kovács Tekla,Miskolcz-Revital Táncsport Egyesület,par.php?id=6496
467,Lukács Márton - Hábel Adél,SZOLDANCE Táncsport Egyesület,par.php?id=7035
468,Konstantinovics Márk - Békési Csenge,Szilver Táncsport Egyesület - SZOLDANCE Táncsport Egyesület,par.php?id=7312
469,Mayer Gábor - Baráth Enikő,Szilver Táncsport Egyesület,par.php?id=6536
470,Dóka Tamás Zoltán - Balázsi Edina,"Freetime Kulturális, Szabadidő és Táncsport Egyesület - Stúdió 2000 TSE",par.php?id=1841
471,Ferencz Attila Levente - Sebestyén Dorka,Ritmo Sporttánc Egyesület,par.php?id=1607
472,Ökrös Zénó - Baráth Csenge,Szilver Táncsport Egyesület,par.php?id=4459
473,Veréb Dániel - Unger Fanni,Spirit Tánc Sport Egyesület,par.php?id=6264
474,VASILIONI FABIO - DELIA CARAIMAN,,par.php?id=5344
475,Horváth Olivér - Szitás Alexandra,Sundance Tánc Sport Egyesület,par.php?id=3826
476,Imre Ákos - Oswald Hanna Lola,Promenád Táncsport Egyesület,par.php?id=2353
477,Bitó Zsolt - Forgács Anna Mónika,Pro-Art Táncstúdió,par.php?id=2352
478,Dósai Zoltán - Kocsis Zsanett,Sundance Tánc Sport Egyesület,par.php?id=2226
479,Andrejszki Alex Levente - Ceglédi Eszter Bernadett,Everydance Táncsport Egyesület,par.php?id=2441
480,Komáromi Richárd Gábriel - Cserny-Kuhn Fruzsina Andrea,Szilver Táncsport Egyesület,par.php?id=2191
481,Matkovics Gorán - Tácsik Zsófia,Goldance Táncsport Egyesület,par.php?id=2443
482,Ambrus Márk Milán - Ábrahám Bettina Mária,Gála Társastáncklub Egyesület,par.php?id=2164
483,Podt Tamás - Róth Réka Eszter,Laguna KTSE,par.php?id=2442
484,Cseri Gábor - Borbély Diána,Goldance Táncsport Egyesület - Everydance Táncsport Egyesület,par.php?id=2444
485,Tóth Zoltán - Simon Helga,Sundance Tánc Sport Egyesület,par.php?id=1553
486,Köllő Balázs - Bottyán Boglárka,Szilver Táncsport Egyesület,par.php?id=4650
487,Juhász Gábor Krisztián - Kocsis Johanna,SZOLDANCE Táncsport Egyesület,par.php?id=2724
488,Balázs Vince - Liang Melina,Stúdió 2000 TSE - JoyDance Táncsport Egyesület,par.php?id=5216
489,Kubitsch Kíra -,Érdi Táncsport Egyesület,par.php?id=6246
490,Ilyés Bernadett -,Érdi Táncsport Egyesület,par.php?id=6245
491,"Osztály, Korosztály - Alsó Szint",,par.php?id=660
492,Buda Levente - Ruschel Petra,ERAKLIN TKE,par.php?id=1075
493,Nagy Kevin  - Bódog Leila,Perfect Dance TSE,par.php?id=406
494,Koller József - Berner Léna,ERAKLIN TKE,par.php?id=1077
495,Nátrán Péter - Baksa Natália,PRESS DANCE TSE,par.php?id=1079
496,Török Tamás - Novák Csenge,GÁLA,par.php?id=1081
497,Vattay Henrik - Sávai Dorina,PERFECT DANCE TSE,par.php?id=1082
498,Orbán Olivér - Orbán Eliza,ERAKLIN TKE,par.php?id=1078
499,Mózer Dominik - Vizler Anna,GÁLA,par.php?id=1083
500,Marai Ádám - Molnár Fanni,PRESS DANCE TSE,par.php?id=1084
501,Bangó Milán - Tóth Panna,PRESS DANCE TSE,par.php?id=1085
502,Tóth Asztrik - Könye Rozália,TánCentrum AMI Savaria Körmend,par.php?id=1080
503,Gecseg Péter Pál - Bucsi Fanni,PRESS DANCE TSE,par.php?id=1086
504,Várbíró Dániel - Nagy Zsófia,Valcer Táncstúdió,par.php?id=4468
505,Hegedűs Bálint Ervin - Vas Angelina,Papiron Szeged Versenytáncklub Egyesület - Pro-Art Táncstúdió,par.php?id=4652
506,Örkényi Bátor Zétény - Lavicska Noémi,Valcer Táncstúdió,par.php?id=5531
507,Csepregi Gergő - Petter Alexa,Ametiszt Táncsport Egyesület,par.php?id=5147
508,Bene Nándor - Gerencsér Zsófia,Lorigo Táncsport Egyesület,par.php?id=2853
509,Máté Milán - Kovács Karina,Stúdió 2000 TSE,par.php?id=5422
510,Kopácsi Attila - Sipos Blanka,Lorigo Táncsport Egyesület,par.php?id=4780
511,Preszter Márk - Hufnágel Dorina,Felicita KTSE,par.php?id=5541
512,Loncsák Dániel - Iván Regina,Valcer Táncstúdió,par.php?id=1978
513,Horváth András - Szarvas Dóra,DanceStation TáncSport Egyesület,par.php?id=74
514,Halmai Dániel - Bencsik Noémi,Szilver Táncsport Egyesület - Békésszentandrási Vértessy TSE,par.php?id=2186
515,Márton Viktor András - Páble Nóra,Felicita KTSE,par.php?id=1603
516,Keresztes László - Bartha-Nagy Lilla,Brilli-Art Studio Közhasznú Táncsport Egyesület,par.php?id=925
517,Kocsmár Martin - Békési Luca,Gála Társastáncklub Egyesület,par.php?id=1048
518,Tarnai Tamás - Tóth Klaudia,Gála Társastáncklub Egyesület,par.php?id=2133
519,Beznoszka Dávid László - Beznoszka Anita Anna,Spirit Tánc Sport Egyesület,par.php?id=5785
520,Koroknai Axel Péter - Tóth Kinga,Lorigo Táncsport Egyesület,par.php?id=5776
521,Veres Benedek Áron - Gunics Rebeka,Dance Universe Tánc Sportegyesület,par.php?id=5736
522,Takács Benedek - Nagy Jázmin,Lorigo Táncsport Egyesület,par.php?id=5775
523,Balázs Vince - László Imola Lilien,Stúdió 2000 TSE - Kézér Tánclabor Sportegyesület,par.php?id=6412
